taxonID,number,distribution,conservation_status
2419272861f7,001.1002,"Colombia (Amazonas, Caquet&aacute;, Guain&iacute;a, Vaup&eacute;s); Venezuela (Amazonas, Bol&iacute;var); Peru; Brazil (Par&aacute;, Amazonas, Acre, Rond&ocirc;nia)",NA
b8f131af3949,001.1002,"Brazil (Amazonas, Roraima); Venezuela (Amazonas, Bol&iacute;var); Guyana; Surinam; Peru; Ecuador",NA
b615e76b9acf,001.1002,Surinam,NA
744c0734e793,001.1002,Australia (N-Queensland), IUCN R
d050fc2406d6,001.1002,"Puerto Rico; Jamaica; Hispaniola; Belize; Guatemala; Honduras; El Salvador; Nicaragua; Panama; Guadeloupe; Dominica; Trinidad; Colombia (Amazonas, Antioquia, Caquet&aacute;, Choc&oacute;, Guain&iacute;a, Nari&ntilde;o, Santander, Vaup&eacute;s); Venezuela (Amazonas, Apure, Bol&iacute;var, Venezuela Distrito Federal, Guarico, Sucre, Zulia); Ecuador; Peru; Guyana; Surinam; French Guiana; Bolivia (Beni, La Paz, Santa Cruz); Brazil (Amazonas, Amap&aacute;, Bahia, Brasilia Distrito Federal, Goi&aacute;s, Maranh&atilde;o, Minas Gerais, Mato Grosso, Par&aacute;, Pernambuco, Piau&iacute;, Paran&aacute;, Rio de Janeiro, Roraima, Rio Grande do Sul, Santa Catarina, S&atilde;o Paulo); Paraguay (Canindeyu); Uruguay (Canelones, Montevideo, Rivera, Tacuaremb&oacute;)",NA
23d79b2a5502,001.1002,"Brazil (Amazonas, Amap&aacute;, Bahia, Esp&iacute;rito Santo, Goi&aacute;s, Maranh&atilde;o, Minas Gerais, Mato Grosso do Sul, Mato Grosso, Par&aacute;, Para&iacute;ba, Pernambuco, Paran&aacute;, Rio de Janeiro, Rio Grande do Sul, Santa Catarina, S&atilde;o Paulo, Tocantins); Venezuela (Bol&iacute;var); Paraguay (Caaguazu)",NA
8e8f64009acf,001.1002,"Angola; Tanzania; Zambia; Malawi; Mozambique; Zimbabwe; South Africa (North West, Limpopo, Mpulamanga, KwaZulu-Natal); Eswatini [Swaziland]; Lesotho",NA
11b8fd7f7ec8,001.1002,"Venezuela (Amazonas, Bol&iacute;var, Monagas); Brazil (Amazonas, Bahia, Mato Grosso, Minas Gerais, Piau&iacute;, Roraima); Guyana",NA
af8be31f91e9,001.1002,"Guinea; Sierra Leone; Liberia; Ivory Coast; Benin; Mali; Nigeria; D.R.Congo [Zaire]; Uganda; Burundi; Tanzania; Angola; Zambia; Malawi; Mozambique; Zimbabwe; South Africa (KwaZulu-Natal, E-Cape Prov., W-Cape Prov., Limpopo, Mpulamanga, E-North West); Lesotho; ?Eswatini [Swaziland]; Madagascar; Mauritius; La R&eacute;union",NA
5733418efd89,001.1003,NA,NA
164875f5666e,001.1003,"Australia (Tasmania); New Zealand (North Isl., South Isl., Stewart Isl.); Auckland Isl.",NA
ed5a33892751,001.1003,Philippines (Mindoro),NA
75f181b55a54,001.1003,"New Zealand (North Isl., South Isl.); Chatham Isl.; Australia (S-South Australia, Queensland, Victoria, Tasmania, New South Wales); New Caledonia",NA
c2e995c5407f,001.1004,NA,NA
105e5ed7782f,001.1004,"Brazil (Minas Gerais, Rio de Janeiro)",NA
12ee86d80189,001.1004,"New Guinea (Irian Jaya, Papua New Guinea)",NA
5e0ccf012243,001.1004,"Venezuela (Amazonas, Apure, Bol&iacute;var); Colombia (Amazonas, Antioquia, Guain&iacute;a); Peru; E-Bolivia (Beni, La Paz, Santa Cruz); Guyana; Surinam; French Guiana; Brazil (Acre, Amazonas, Amap&aacute;, Bahia, Brasilia Distrito Federal, Goi&aacute;s, Maranh&atilde;o, Minas Gerais, Mato Grosso do Sul, Mato Grosso, Par&aacute;, Pernambuco, Piau&iacute;, Paran&aacute;, Rond&ocirc;nia, Roraima, Santa Catarina, S&atilde;o Paulo, Tocantins); Paraguay (Caaguazu)",NA
